country,date,sector,MtCO2_per_day
Germany,2021-12-03,Ground Transport,0.435381
Germany,2021-12-03,Residential,0.531644
Japan,2021-12-04,Industry,0.771789
Japan,2021-12-04,International Aviation,0.0105513
Japan,2021-12-04,Power,1.19576
Japan,2021-12-04,Residential,0.235012
Russia,2021-12-04,Domestic Aviation,0.0436919
Russia,2021-12-04,Ground Transport,0.687503
Russia,2021-12-04,Industry,0.841036
Russia,2021-12-04,International Aviation,0.00608148
Russia,2021-12-04,Power,2.23515
Russia,2021-12-04,Residential,0.374544
United Kingdom,2021-12-04,Industry,0.239019
United Kingdom,2021-12-04,Ground Transport,0.332359
United Kingdom,2021-12-04,International Aviation,0.0109183
United Kingdom,2021-12-04,Power,0.291266
United States,2021-12-04,Residential,1.36646
United States,2021-12-04,Domestic Aviation,0.430866
United States,2021-12-04,Ground Transport,4.33641
United States,2021-12-04,Industry,2.66155
United States,2021-12-04,International Aviation,0.144025
United States,2021-12-04,Power,3.15453
Japan,2021-12-04,Ground Transport,0.476725
United Kingdom,2021-12-04,Domestic Aviation,0.00359708
United Kingdom,2021-12-04,Residential,0.365685
Japan,2021-12-04,Domestic Aviation,0.0157799
India,2021-12-04,Power,4.11406
India,2021-12-04,Residential,0.339057
China,2021-12-04,Domestic Aviation,0.203816
China,2021-12-04,Ground Transport,2.47794
China,2021-12-04,Industry,13.7544
China,2021-12-04,International Aviation,0.0236873
China,2021-12-04,Power,13.2723
France,2021-12-04,Domestic Aviation,0.00274741
France,2021-12-04,Ground Transport,0.317404
France,2021-12-04,Industry,0.203952
France,2021-12-04,International Aviation,0.00722254
France,2021-12-04,Power,0.0922992
China,2021-12-04,Residential,1.96827
Germany,2021-12-04,Domestic Aviation,0.00275307
France,2021-12-04,Residential,0.345744
India,2021-12-04,Industry,2.03599
India,2021-12-04,Ground Transport,0.800015
India,2021-12-04,Domestic Aviation,0.0156704
Germany,2021-12-04,Residential,0.655291
India,2021-12-04,International Aviation,0.00642473
Germany,2021-12-04,International Aviation,0.0152405
Germany,2021-12-04,Industry,0.453164
Germany,2021-12-04,Ground Transport,0.435773
Germany,2021-12-04,Power,0.821173
Russia,2021-12-05,Residential,0.199711
Japan,2021-12-05,Industry,0.716926
Japan,2021-12-05,International Aviation,0.0132821
Japan,2021-12-05,Power,1.18205
Japan,2021-12-05,Residential,0.174849
Russia,2021-12-05,Domestic Aviation,0.0533197
Russia,2021-12-05,Ground Transport,0.69109
Russia,2021-12-05,Industry,0.789505
Russia,2021-12-05,International Aviation,0.00665261
Russia,2021-12-05,Power,1.79246
United Kingdom,2021-12-05,Domestic Aviation,0.00375157
Japan,2021-12-05,Ground Transport,0.472318
United Kingdom,2021-12-05,Industry,0.213972
United Kingdom,2021-12-05,International Aviation,0.0101793
United Kingdom,2021-12-05,Power,0.236762
United Kingdom,2021-12-05,Residential,0.240306
United States,2021-12-05,Domestic Aviation,0.432309
United States,2021-12-05,Ground Transport,4.32947
United States,2021-12-05,Industry,2.68198
United States,2021-12-05,International Aviation,0.131782
United States,2021-12-05,Power,3.69186
United States,2021-12-05,Residential,1.3301
United Kingdom,2021-12-05,Ground Transport,0.341895
Japan,2021-12-05,Domestic Aviation,0.0128305
France,2021-12-05,Residential,0.218435
India,2021-12-05,Power,3.29502
China,2021-12-05,Domestic Aviation,0.20338
China,2021-12-05,Ground Transport,2.55798
China,2021-12-05,Industry,13.7292
China,2021-12-05,International Aviation,0.0289542
China,2021-12-05,Power,13.0513
China,2021-12-05,Residential,1.40251
France,2021-12-05,Domestic Aviation,0.00362222
France,2021-12-05,Ground Transport,0.353489
France,2021-12-05,Industry,0.210022
France,2021-12-05,International Aviation,0.0079913
France,2021-12-05,Power,0.0443963
India,2021-12-05,Residential,0.317032
Germany,2021-12-05,Domestic Aviation,0.0030236
India,2021-12-05,Industry,1.73674
India,2021-12-05,Ground Transport,0.305662
India,2021-12-05,Domestic Aviation,0.00682018
Germany,2021-12-05,Residential,0.306451
India,2021-12-05,International Aviation,0.00634314
Germany,2021-12-05,International Aviation,0.0152132
Germany,2021-12-05,Industry,0.431584
Germany,2021-12-05,Ground Transport,0.450734
Germany,2021-12-05,Power,0.613787
Russia,2021-12-06,Residential,0.130103
Japan,2021-12-06,Industry,0.689841
Japan,2021-12-06,International Aviation,0.0130836
Japan,2021-12-06,Power,1.10793
Japan,2021-12-06,Residential,0.117836
Russia,2021-12-06,Ground Transport,0.525579
Russia,2021-12-06,Industry,0.77259
Russia,2021-12-06,International Aviation,0.00881024
Russia,2021-12-06,Power,1.583
United Kingdom,2021-12-06,Domestic Aviation,0.00377457
United Kingdom,2021-12-06,Residential,0.146037
United Kingdom,2021-12-06,Industry,0.121436
United Kingdom,2021-12-06,International Aviation,0.0130804
United Kingdom,2021-12-06,Power,0.103641
Japan,2021-12-06,Ground Transport,0.442919
United States,2021-12-06,Domestic Aviation,0.457553
United States,2021-12-06,Ground Transport,4.71296
United States,2021-12-06,Industry,2.65093
United States,2021-12-06,International Aviation,0.15179
United States,2021-12-06,Power,4.87721
United States,2021-12-06,Residential,0.723314
United Kingdom,2021-12-06,Ground Transport,0.313152
India,2021-12-06,Residential,0.276545
Russia,2021-12-06,Domestic Aviation,0.0660644
China,2021-12-06,Domestic Aviation,0.171674
India,2021-12-06,Power,2.95568
China,2021-12-06,Ground Transport,2.50218
China,2021-12-06,Industry,13.1046
China,2021-12-06,International Aviation,0.0278146
China,2021-12-06,Power,14.2565
China,2021-12-06,Residential,1.37272
France,2021-12-06,Domestic Aviation,0.004363
France,2021-12-06,Ground Transport,0.316419
France,2021-12-06,Industry,0.0709126
France,2021-12-06,International Aviation,0.0100852
France,2021-12-06,Power,0.0154478
Japan,2021-12-06,Domestic Aviation,0.0138515
Germany,2021-12-06,Domestic Aviation,0.00302063
France,2021-12-06,Residential,0.0951286
India,2021-12-06,Industry,1.74373
India,2021-12-06,Ground Transport,0.680518
India,2021-12-06,Domestic Aviation,0.00806177
Germany,2021-12-06,Residential,0.0863851
India,2021-12-06,International Aviation,0.00479686
Germany,2021-12-06,Power,0.324914
Germany,2021-12-06,International Aviation,0.0184158
Germany,2021-12-06,Industry,0.182255
Germany,2021-12-06,Ground Transport,0.381805
Russia,2021-12-07,Power,1.91574
Japan,2021-12-07,Industry,0.694828
Japan,2021-12-07,International Aviation,0.0108876
Japan,2021-12-07,Power,1.39255
Japan,2021-12-07,Residential,0.113535
Russia,2021-12-07,Domestic Aviation,0.0654713
Russia,2021-12-07,Ground Transport,0.653206
Russia,2021-12-07,Industry,0.838429
Russia,2021-12-07,International Aviation,0.00936448
Japan,2021-12-07,Ground Transport,0.481266
Russia,2021-12-07,Residential,0.109241
United Kingdom,2021-12-07,Power,0.230862
United Kingdom,2021-12-07,Ground Transport,0.314154
United Kingdom,2021-12-07,Industry,0.208605
United Kingdom,2021-12-07,International Aviation,0.0140826
United Kingdom,2021-12-07,Residential,0.122093
United States,2021-12-07,Domestic Aviation,0.468279
United States,2021-12-07,Ground Transport,4.2426
United States,2021-12-07,Industry,2.57161
United States,2021-12-07,International Aviation,0.15701
United States,2021-12-07,Power,5.50003
United States,2021-12-07,Residential,0.645407
United Kingdom,2021-12-07,Domestic Aviation,0.00617008
Japan,2021-12-07,Domestic Aviation,0.0153242
India,2021-12-07,Residential,0.26325
India,2021-12-07,International Aviation,0.00528983
China,2021-12-07,Domestic Aviation,0.198976
China,2021-12-07,Ground Transport,2.52097
China,2021-12-07,Industry,12.4792
China,2021-12-07,International Aviation,0.0252756
China,2021-12-07,Power,15.759
China,2021-12-07,Residential,1.32456
France,2021-12-07,Domestic Aviation,0.00759107
France,2021-12-07,Ground Transport,0.34105
France,2021-12-07,Industry,0.247633
France,2021-12-07,International Aviation,0.0139398
India,2021-12-07,Power,3.5632
France,2021-12-07,Residential,0.115623
Germany,2021-12-07,Domestic Aviation,0.00406337
Germany,2021-12-07,Ground Transport,0.432091
Germany,2021-12-07,Industry,0.380516
Germany,2021-12-07,International Aviation,0.0227855
Germany,2021-12-07,Power,0.672637
Germany,2021-12-07,Residential,0.0981765
India,2021-12-07,Domestic Aviation,0.00989569
India,2021-12-07,Ground Transport,0.797528
India,2021-12-07,Industry,2.10735
France,2021-12-07,Power,0.060471
Russia,2021-12-08,International Aviation,0.00989231
Russia,2021-12-08,Industry,0.848389
Russia,2021-12-08,Ground Transport,0.669727
Russia,2021-12-08,Domestic Aviation,0.0635318
Japan,2021-12-08,Ground Transport,0.443985
Japan,2021-12-08,Power,1.20025
Japan,2021-12-08,International Aviation,0.0120545
Japan,2021-12-08,Industry,0.527
Russia,2021-12-08,Power,2.02052
Japan,2021-12-08,Residential,0.116023
Russia,2021-12-08,Residential,0.11429
United Kingdom,2021-12-08,Power,0.131919
United Kingdom,2021-12-08,Ground Transport,0.332978
United Kingdom,2021-12-08,Industry,0.133299
United Kingdom,2021-12-08,International Aviation,0.0193336
United Kingdom,2021-12-08,Residential,0.133371
United States,2021-12-08,Domestic Aviation,0.508141
United States,2021-12-08,Ground Transport,4.30586
United States,2021-12-08,Industry,2.75819
United States,2021-12-08,International Aviation,0.156971
Japan,2021-12-08,Domestic Aviation,0.0216017
United States,2021-12-08,Residential,0.613453
United Kingdom,2021-12-08,Domestic Aviation,0.0068173
United States,2021-12-08,Power,6.0721
India,2021-12-08,Residential,0.259326
India,2021-12-08,International Aviation,0.0069496
India,2021-12-08,Power,3.81126
China,2021-12-08,Domestic Aviation,0.0840368
China,2021-12-08,Ground Transport,2.38205
China,2021-12-08,Industry,12.4712
China,2021-12-08,International Aviation,0.0257734
China,2021-12-08,Power,15.498
France,2021-12-08,Domestic Aviation,0.00745651
France,2021-12-08,Ground Transport,0.286462
France,2021-12-08,Industry,0.182979
France,2021-12-08,International Aviation,0.0151902
China,2021-12-08,Residential,1.33436
France,2021-12-08,Residential,0.0855464
France,2021-12-08,Power,0.0338357
India,2021-12-08,Ground Transport,0.807559
India,2021-12-08,Domestic Aviation,0.0120291
Germany,2021-12-08,Residential,0.070476
Germany,2021-12-08,Power,0.589931
India,2021-12-08,Industry,2.17587
Germany,2021-12-08,Industry,0.326206
Germany,2021-12-08,Ground Transport,0.438023
Germany,2021-12-08,Domestic Aviation,0.00522158
Germany,2021-12-08,International Aviation,0.0227367
Russia,2021-12-09,Power,1.93917
Japan,2021-12-09,Industry,0.624431
Japan,2021-12-09,International Aviation,0.0131497
Japan,2021-12-09,Power,1.10488
Japan,2021-12-09,Residential,0.118274
Russia,2021-12-09,Domestic Aviation,0.0642487
Russia,2021-12-09,Ground Transport,0.425776
Russia,2021-12-09,Industry,0.854387
Russia,2021-12-09,International Aviation,0.0115623
Russia,2021-12-09,Residential,0.233927
Japan,2021-12-09,Ground Transport,0.413784
United Kingdom,2021-12-09,Ground Transport,0.295569
United Kingdom,2021-12-09,Industry,0.202192
United Kingdom,2021-12-09,International Aviation,0.0224254
United Kingdom,2021-12-09,Power,0.210811
United Kingdom,2021-12-09,Residential,0.169294
United States,2021-12-09,Domestic Aviation,0.443024
United States,2021-12-09,Ground Transport,4.44799
United States,2021-12-09,Industry,2.58299
United States,2021-12-09,International Aviation,0.157981
United States,2021-12-09,Power,4.42842
United Kingdom,2021-12-09,Domestic Aviation,0.00589625
Japan,2021-12-09,Domestic Aviation,0.0154984
United States,2021-12-09,Residential,0.654073
India,2021-12-09,Power,2.75724
China,2021-12-09,Domestic Aviation,0.169144
China,2021-12-09,Ground Transport,2.5523
China,2021-12-09,Industry,11.6131
China,2021-12-09,International Aviation,0.0274841
China,2021-12-09,Power,13.5221
China,2021-12-09,Residential,1.40834
France,2021-12-09,Domestic Aviation,0.00527715
France,2021-12-09,Ground Transport,0.287597
France,2021-12-09,Industry,0.0819201
France,2021-12-09,International Aviation,0.0164885
France,2021-12-09,Power,0.0230318
India,2021-12-09,Residential,0.286146
Germany,2021-12-09,Domestic Aviation,0.00425709
Germany,2021-12-09,Ground Transport,0.350609
Germany,2021-12-09,Industry,0.281179
Germany,2021-12-09,International Aviation,0.0248928
Germany,2021-12-09,Power,0.627579
Germany,2021-12-09,Residential,0.114561
India,2021-12-09,Domestic Aviation,0.014537
India,2021-12-09,Ground Transport,0.795359
India,2021-12-09,Industry,1.77761
India,2021-12-09,International Aviation,0.00812409
France,2021-12-09,Residential,0.108199
Russia,2021-12-10,International Aviation,0.0109032
Russia,2021-12-10,Industry,0.899494
Russia,2021-12-10,Ground Transport,0.678362
Japan,2021-12-10,Industry,0.763795
Japan,2021-12-10,Residential,0.136816
Japan,2021-12-10,Power,1.43771
Japan,2021-12-10,International Aviation,0.0114869
Russia,2021-12-10,Power,2.28677
Russia,2021-12-10,Domestic Aviation,0.0477464
Russia,2021-12-10,Residential,0.411635
United Kingdom,2021-12-10,Residential,0.222817
United Kingdom,2021-12-10,Ground Transport,0.340562
United Kingdom,2021-12-10,Industry,0.265196
United Kingdom,2021-12-10,International Aviation,0.0209011
United Kingdom,2021-12-10,Power,0.231743
United States,2021-12-10,Domestic Aviation,0.475936
United States,2021-12-10,Ground Transport,4.3317
United States,2021-12-10,Industry,2.61056
United States,2021-12-10,International Aviation,0.15248
United States,2021-12-10,Power,3.87749
Japan,2021-12-10,Ground Transport,0.491463
United Kingdom,2021-12-10,Domestic Aviation,0.00646878
Japan,2021-12-10,Domestic Aviation,0.0158488
United States,2021-12-10,Residential,0.81645
India,2021-12-10,Power,3.51446
China,2021-12-10,Domestic Aviation,0.155552
China,2021-12-10,Ground Transport,2.56251
China,2021-12-10,Industry,10.4617
China,2021-12-10,International Aviation,0.0266826
China,2021-12-10,Power,11.6055
China,2021-12-10,Residential,1.75808
France,2021-12-10,Domestic Aviation,0.00456359
France,2021-12-10,Ground Transport,0.359627
France,2021-12-10,Industry,0.16835
France,2021-12-10,International Aviation,0.0133311
France,2021-12-10,Power,0.0506861
India,2021-12-10,Residential,0.30103
Germany,2021-12-10,Domestic Aviation,0.00514018
Germany,2021-12-10,Ground Transport,0.452335
Germany,2021-12-10,Industry,0.415229
Germany,2021-12-10,International Aviation,0.0228036
Germany,2021-12-10,Power,0.864347
Germany,2021-12-10,Residential,0.443118
India,2021-12-10,Domestic Aviation,0.015474
India,2021-12-10,Ground Transport,0.826639
India,2021-12-10,Industry,2.21475
India,2021-12-10,International Aviation,0.00770094
France,2021-12-10,Residential,0.232861
Russia,2021-12-11,International Aviation,0.0102848
Russia,2021-12-11,Industry,0.944863
Russia,2021-12-11,Ground Transport,0.69188
Russia,2021-12-11,Domestic Aviation,0.0451784
Japan,2021-12-11,Ground Transport,0.500954
Japan,2021-12-11,Power,1.37417
Japan,2021-12-11,International Aviation,0.0150717
Japan,2021-12-11,Industry,0.750393
Russia,2021-12-11,Power,2.54183
Japan,2021-12-11,Residential,0.38817
Russia,2021-12-11,Residential,0.612038
United Kingdom,2021-12-11,Power,0.120371
United Kingdom,2021-12-11,Ground Transport,0.346117
United Kingdom,2021-12-11,Industry,0.108615
United Kingdom,2021-12-11,International Aviation,0.0240297
United Kingdom,2021-12-11,Residential,0.22966
United States,2021-12-11,Domestic Aviation,0.505756
United States,2021-12-11,Ground Transport,4.6908
United States,2021-12-11,Industry,2.7142
United States,2021-12-11,International Aviation,0.16339
United States,2021-12-11,Power,3.32148
Japan,2021-12-11,Domestic Aviation,0.0206623
United Kingdom,2021-12-11,Domestic Aviation,0.00612314
United States,2021-12-11,Residential,1.4392
India,2021-12-11,Residential,0.381607
India,2021-12-11,International Aviation,0.00844612
India,2021-12-11,Power,3.2114
China,2021-12-11,Domestic Aviation,0.100162
China,2021-12-11,Ground Transport,2.52175
China,2021-12-11,Industry,11.0283
China,2021-12-11,International Aviation,0.0333347
China,2021-12-11,Power,13.2821
France,2021-12-11,Domestic Aviation,0.0052845
France,2021-12-11,Ground Transport,0.344218
France,2021-12-11,Industry,0.17321
France,2021-12-11,International Aviation,0.0156783
China,2021-12-11,Residential,2.77792
France,2021-12-11,Residential,0.30506
Germany,2021-12-11,Domestic Aviation,0.00501381
Germany,2021-12-11,Ground Transport,0.446318
Germany,2021-12-11,Industry,0.402047
Germany,2021-12-11,International Aviation,0.0241404
Germany,2021-12-11,Power,0.95779
Germany,2021-12-11,Residential,0.612288
India,2021-12-11,Domestic Aviation,0.018721
India,2021-12-11,Ground Transport,0.823054
France,2021-12-11,Power,0.134146
India,2021-12-11,Industry,2.04695
Russia,2021-12-12,Power,2.62671
Russia,2021-12-12,International Aviation,0.0101951
Russia,2021-12-12,Industry,1.02183
Russia,2021-12-12,Ground Transport,0.537764
Japan,2021-12-12,Industry,0.570334
Japan,2021-12-12,Residential,0.395179
Japan,2021-12-12,Power,1.25038
Japan,2021-12-12,International Aviation,0.0139765
Russia,2021-12-12,Residential,0.886749
Russia,2021-12-12,Domestic Aviation,0.0427092
United Kingdom,2021-12-12,Domestic Aviation,0.00471485
United States,2021-12-12,Residential,2.47064
United Kingdom,2021-12-12,Industry,0.107158
United Kingdom,2021-12-12,International Aviation,0.0266669
United Kingdom,2021-12-12,Power,0.137961
United Kingdom,2021-12-12,Residential,0.233346
United States,2021-12-12,Domestic Aviation,0.436356
United States,2021-12-12,Ground Transport,3.97794
United States,2021-12-12,Industry,2.64331
United States,2021-12-12,International Aviation,0.177647
United States,2021-12-12,Power,3.14556
Japan,2021-12-12,Ground Transport,0.475368
United Kingdom,2021-12-12,Ground Transport,0.288325
Japan,2021-12-12,Domestic Aviation,0.0221157
France,2021-12-12,Power,0.124415
India,2021-12-12,Power,3.31755
India,2021-12-12,Residential,1.05268
China,2021-12-12,Ground Transport,2.43815
China,2021-12-12,Industry,11.5809
China,2021-12-12,International Aviation,0.0335966
China,2021-12-12,Power,15.4964
China,2021-12-12,Residential,3.45538
France,2021-12-12,Domestic Aviation,0.00596663
France,2021-12-12,Ground Transport,0.291266
France,2021-12-12,Industry,0.163916
France,2021-12-12,International Aviation,0.0161841
China,2021-12-12,Domestic Aviation,0.121114
India,2021-12-12,International Aviation,0.0104153
Germany,2021-12-12,Domestic Aviation,0.00312577
Germany,2021-12-12,Ground Transport,0.281297
Germany,2021-12-12,Industry,0.278296
Germany,2021-12-12,International Aviation,0.0240817
Germany,2021-12-12,Power,0.70801
Germany,2021-12-12,Residential,0.643073
India,2021-12-12,Domestic Aviation,0.0195189
India,2021-12-12,Ground Transport,0.760779
India,2021-12-12,Industry,2.03015
France,2021-12-12,Residential,0.317551
Russia,2022-01-01,International Aviation,0.00876467
Russia,2022-01-01,Industry,0.642766
Russia,2022-01-01,Ground Transport,0.23763
United States,2022-01-01,Residential,2.25889
Japan,2022-01-01,Residential,0.713369
Japan,2022-01-01,Power,1.37241
Japan,2022-01-01,International Aviation,0.00990337
Russia,2022-01-01,Power,2.44375
Russia,2022-01-01,Domestic Aviation,0.0306361
Japan,2022-01-01,Industry,0.487401
United Kingdom,2022-01-01,Residential,0.207599
United Kingdom,2022-01-01,Ground Transport,0.208979
United Kingdom,2022-01-01,Industry,0.0348495
United Kingdom,2022-01-01,International Aviation,0.0238339
United Kingdom,2022-01-01,Power,0.0512363
United States,2022-01-01,Domestic Aviation,0.336874
United States,2022-01-01,Ground Transport,3.54769
United States,2022-01-01,Industry,2.54671
United States,2022-01-01,International Aviation,0.169588
United States,2022-01-01,Power,3.23851
Japan,2022-01-01,Ground Transport,0.33077
United Kingdom,2022-01-01,Domestic Aviation,0.00242714
Japan,2022-01-01,Domestic Aviation,0.0220225
Russia,2022-01-01,Residential,0.817972
India,2022-01-01,Power,3.54976
India,2022-01-01,Residential,1.73882
China,2022-01-01,Ground Transport,2.55657
China,2022-01-01,Industry,11.2422
China,2022-01-01,International Aviation,0.0210525
China,2022-01-01,Power,17.8744
China,2022-01-01,Residential,3.6569
France,2022-01-01,Domestic Aviation,0.00646436
France,2022-01-01,Ground Transport,0.218358
France,2022-01-01,Industry,0.0610176
France,2022-01-01,International Aviation,0.0164578
France,2022-01-01,Power,0.0515198
China,2022-01-01,Domestic Aviation,0.120244
Germany,2022-01-01,Domestic Aviation,0.00209234
France,2022-01-01,Residential,0.266776
India,2022-01-01,Industry,2.08981
India,2022-01-01,Ground Transport,0.76491
India,2022-01-01,Domestic Aviation,0.0186213
India,2022-01-01,International Aviation,0.00835494
Germany,2022-01-01,Power,0.30408
Germany,2022-01-01,International Aviation,0.0223914
Germany,2022-01-01,Industry,0.110799
Germany,2022-01-01,Ground Transport,0.205311
Germany,2022-01-01,Residential,0.37577
Russia,2022-01-02,Power,2.83663
Japan,2022-01-02,International Aviation,0.0103183
Japan,2022-01-02,Power,1.87251
Japan,2022-01-02,Residential,0.631297
Russia,2022-01-02,Domestic Aviation,0.0369725
Russia,2022-01-02,Ground Transport,0.658935
Russia,2022-01-02,Industry,0.859124
Russia,2022-01-02,International Aviation,0.00794476
Japan,2022-01-02,Industry,0.764542
United Kingdom,2022-01-02,International Aviation,0.0210552
United Kingdom,2022-01-02,Domestic Aviation,0.0044613
United Kingdom,2022-01-02,Ground Transport,0.34003
United Kingdom,2022-01-02,Industry,0.159608
United Kingdom,2022-01-02,Power,0.127068
United Kingdom,2022-01-02,Residential,0.269955
United States,2022-01-02,Domestic Aviation,0.434991
United States,2022-01-02,Ground Transport,4.337
United States,2022-01-02,Industry,2.73122
United States,2022-01-02,International Aviation,0.163696
Japan,2022-01-02,Ground Transport,0.493588
Russia,2022-01-02,Residential,0.787924
Japan,2022-01-02,Domestic Aviation,0.0159366
Germany,2022-01-02,Ground Transport,0.43303
India,2022-01-02,Power,3.87347
United States,2022-01-02,Power,4.23229
China,2022-01-02,International Aviation,0.0226141
China,2022-01-02,Power,11.4914
China,2022-01-02,Residential,4.21048
France,2022-01-02,Domestic Aviation,0.00468405
France,2022-01-02,Ground Transport,0.347622
France,2022-01-02,Industry,0.203585
